Domain,Port,IPv4_Addresses
google.com,"443,80",142.250.194.14
gstatic.com,"443,80",142.250.77.195
google.co.uk,"443,80",142.250.194.163
googleusercontent.com,"443,80",216.58.196.97
appspot.com,"443,80",172.217.167.206
googleapis.com,"443,80",142.250.194.196
oauth2.googleapis.com,"443,80","142.250.206.138, 142.250.206.170, 142.250.206.106, 142.250.77.234, 216.58.200.202, 142.250.193.42, 142.250.77.202, 142.250.193.202, 142.250.192.170, 142.250.193.10, 142.250.192.234, 216.58.200.170, 142.250.193.74, 142.250.192.202, 142.250.193.234, 142.250.182.170"
identitytoolkit.googleapis.com,"443,80","142.250.206.138, 142.250.192.170, 142.250.206.106, 142.250.77.234, 142.250.193.42, 142.250.77.202, 172.217.167.234, 142.250.193.202, 142.250.193.10, 142.250.193.234, 216.58.196.106, 142.250.192.234, 142.250.193.74, 142.250.192.202, 216.58.200.202, 142.250.182.170"
securetoken.googleapis.com,"443,80","142.250.194.106, 142.250.194.234, 142.250.77.234, 142.250.194.202, 142.250.77.202, 142.250.194.138, 142.250.194.170, 142.250.207.202, 172.217.27.170, 216.58.196.106, 216.58.200.170, 142.250.195.10, 142.250.207.234, 172.217.167.202, 216.58.200.202, 142.250.182.170"
accounts.googleapis.com,"443,80","142.250.206.138, 142.250.194.106, 142.250.194.74, 142.250.206.170, 142.250.206.106, 142.250.194.234, 142.250.194.42, 142.250.207.234, 142.250.194.138, 142.250.193.202, 142.250.194.10, 142.250.207.202, 142.250.194.170, 142.250.195.10, 142.250.194.202, 142.250.193.234"
artifactory.vodafone.com,"443,80",195.233.144.180
docker.io,"443,80","100.29.167.200, 54.208.73.48, 54.156.14.194"
apt.releases.hashicorp.com,"443,80","108.158.232.79, 108.158.232.91, 108.158.232.60, 108.158.232.90"
gcr.iosnapcraftcontent.com,"443,80",Resolution Failed
snapcraft.io,"443,80","185.125.190.20, 185.125.190.29, 185.125.190.21"
email-smtp.eu-west-1.amazonaws.com,"443,80","99.81.178.80, 34.240.193.206, 52.18.165.220"
www.googletagmanager.com,"443,80",142.250.194.136
www.googleadservices.com,"443,80",142.250.206.98
pkg.dev,"443,80",216.239.32.27
gcr.io,"443,80",74.125.68.82
eu.gcr.io,"443,80",74.125.68.82
pypi.org,"443,80","151.101.64.223, 151.101.128.223, 151.101.0.223, 151.101.192.223"
pythonhosted.org,"443,80","151.101.64.223, 151.101.128.223, 151.101.0.223, 151.101.192.223"
updates.jenkins-ci.org,"443,80",20.7.178.24
mirror.serverion.com,"443,80",185.28.39.100
ifconfig.me,"443,80",34.160.111.145
gvp.vault.neuron.bdp.vodafone.com,"443,80",35.201.104.87
outbound-proxy.neuron.shared-services.vf.local,"443,80",Resolution Failed
apache.org,"443,80",151.101.2.132
maven.org,"443,80","3.169.71.99, 3.169.71.107, 3.169.71.7, 3.169.71.52"
vfuk-digital.pkgs.visualstudio.com,"443,80",13.107.42.18
repository.cloudera.com,"443,80","52.36.233.102, 54.148.9.35"
archive.cloudera.com,"443,80","151.101.64.167, 151.101.192.167, 151.101.0.167, 151.101.128.167"
packages.confluent.io,"443,80","18.66.63.61, 18.66.63.98, 18.66.63.124, 18.66.63.86"
cran.rstudio.com,"443,80","54.192.171.119, 54.192.171.100, 54.192.171.83, 54.192.171.109"
download.osgeo.org,"443,80",140.211.15.30
dl.bintray.com,"443,80","3.95.117.170, 18.232.172.199, 18.214.194.113"
repository.jboss.org,"443,80","96.17.194.235, 23.64.1.233"
repository.mapr.com,"443,80",34.200.14.233
nuget.org,"443,80",52.159.113.5
oss.sonatype.org,"443,80","54.175.188.228, 3.95.79.203"
repo.eclipse.org,"443,80",198.41.30.254
repo.spring.io,"443,80","52.22.177.50, 34.225.228.28, 44.209.124.32"
maven.twttr.com,"443,80","199.16.156.89, 199.16.156.245"
links.sonatype.com,"443,80","18.116.56.116, 3.19.212.103, 18.189.115.50"
rhc-pro.sonatype.com,"443,80","18.164.217.34, 18.164.217.96, 18.164.217.41, 18.164.217.14"
clm.sonatype.com,"443,80","18.164.217.34, 18.164.217.96, 18.164.217.41, 18.164.217.14"
download.sonatype.com,"443,80","52.53.59.4, 18.144.96.253"
sonatype-download.global.ssl.fastly.net,"443,80","151.101.1.194, 151.101.129.194, 151.101.193.194, 151.101.65.194"
pypi.python.org,"443,80","151.101.64.223, 151.101.128.223, 151.101.0.223, 151.101.192.223"
files.pythonhosted.org,"443,80","151.101.64.223, 151.101.128.223, 151.101.0.223, 151.101.192.223"
releases.hashicorp.com,"443,80","18.164.217.126, 18.164.217.2, 18.164.217.65, 18.164.217.71"
repo.boundlessgeo.com,"443,80",Resolution Failed
jcenter.bintray.com,"443,80","3.95.117.170, 18.232.172.199, 18.214.194.113"
adoptium.net,"443,80","104.18.21.66, 104.18.20.66"
harbor.vodafone.com,"443,80",Resolution Failed
internal.harbor.vodafone.com,"443,80",Resolution Failed
adoptium.jfrog.io,"443,80","35.160.231.47, 52.10.249.110, 52.32.129.26"
alpha-apps.neuron.bdp.vodafone.com,"443,80",35.201.97.131
api.alpha-constellation.vodafone.com,"443,80",34.117.245.230
api.beta-constellation.vodafone.com,"443,80",34.117.4.60
github.vodafone.com,"443,80",195.233.144.162
githubusercontent.com,"443,80",Resolution Failed
debian.org,"443,80","151.101.2.132, 151.101.66.132, 151.101.130.132, 151.101.194.132"
cloud.r-project.org,"443,80","54.192.171.119, 54.192.171.100, 54.192.171.83, 54.192.171.109"
debian.map.fastlydns.net,"443,80","151.101.2.132, 151.101.66.132, 151.101.130.132, 151.101.194.132"
developer.download.nvidia.com,"443,80","96.17.194.232, 23.64.1.218"
download.docker.com,"443,80","18.66.78.101, 18.66.78.50, 18.66.78.62, 18.66.78.16"
download.nvidia.com,"443,80","96.17.194.232, 23.64.1.218"
ftp-chi.osuosl.org,"443,80",64.50.236.52
ftp-nyc.osuosl.org,"443,80",64.50.233.100
ftp.halifax.rwth-aachen.de,"443,80",137.226.34.46
get.jenkins.io,"443,80",20.7.178.24
github.com,"443,80",20.207.73.82
tunnel.cloudproxy.app,"443,80",142.250.206.110
dl-cdn.alpinelinux.org,"443,80","151.101.2.132, 151.101.66.132, 151.101.130.132, 151.101.194.132"
ubuntu.com,"443,80","185.125.190.20, 185.125.190.29, 185.125.190.21"
mirror.gruenehoelle.nlmirror.xmission.com,"443,80",Resolution Failed
mirrors.jenkins-ci.org,"443,80",20.7.178.24
npmjs.org,"443,80","104.16.0.35, 104.16.2.35, 104.16.29.34, 104.16.27.34, 104.16.26.34, 104.16.31.34, 104.16.3.35, 104.16.30.34, 104.16.24.34, 104.16.25.34, 104.16.28.34, 104.16.1.35"
yarnpkg.com,"443,80","104.16.169.120, 104.16.168.120"
build.shibboleth.net,"443,80",3.213.250.186
repo.mysql.com,"443,80",23.203.203.187
unofficial-builds.nodejs.org,"443,80",45.55.98.129
updates.jenkins.io,"443,80",20.7.178.24
repo.anaconda.com,"443,80","104.16.32.241, 104.16.191.158"
repo.continuum.io,"443,80","104.18.176.84, 104.18.177.84"
jdbc.postgresql.org,"443,80",72.32.157.228
python.org,"443,80","151.101.64.223, 151.101.128.223, 151.101.0.223, 151.101.192.223"
151.101.0.0/16,"443,80",Resolution Failed
